,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.399,6.108550619,0.872540675,4.13570053,-2.94506604,-27.18909591,98.8323968,1,1,1,0,1,1
result.400,5.315946972,0.905337183,3.220966229,-2.51399666,-26.55366765,100.054075,1,1,1,0,0,1
result.401,4.996771267,0.910941267,2.421314924,0.52311643,7.326873358,98.16858737,1,1,1,1,1,1
result.402,4.379599773,0.882153318,4.214340045,-2.648015628,-26.24366592,103.0433531,1,1,1,0,0,1
result.403,4.822512455,0.960895647,2.468427125,-1.975479055,-19.32593599,91.86300775,1,0,1,1,1,1
result.404,5.159638979,0.903683765,2.714515166,-2.311932755,-21.74571619,97.07212348,1,1,1,0,0,1
result.405,3.271499664,0.979191624,2.972905964,-2.144557312,-20.79463181,90.25873295,1,0,1,1,1,1
result.406,6.679833725,0.902802054,3.932400202,-0.439096602,-6.550370196,108.0386918,1,1,1,1,1,1
result.407,4.027693346,0.954911679,2.835133799,-1.305225386,-11.58446697,93.22956865,1,0,1,1,1,1
result.408,4.810454297,0.941705362,3.163071433,-2.680520903,-24.88729573,95.20282618,1,1,1,1,1,1
result.409,3.889538006,0.861666517,2.563456389,-2.261399722,-27.35448503,98.06293799,1,1,1,0,0,1
result.410,4.256466987,0.929256136,3.941197505,-0.204577655,-3.279029347,103.9333641,1,1,1,1,1,1
result.411,4.939252439,0.92200271,2.73832188,-2.479376317,-28.72079022,107.0350666,1,1,1,0,0,1
result.412,5.49107883,0.863775531,3.842862146,0.109986495,-6.977683612,97.42672346,1,1,1,1,0,1
result.413,4.613126384,0.957817749,3.182387227,-1.872487177,-16.91331819,95.05064325,1,0,1,1,1,1
result.414,5.076957495,0.914598562,2.84413981,0.212544817,2.657195795,101.579174,1,1,1,1,1,1
result.415,5.487347818,0.900285977,3.171869382,-2.650331962,-25.18688138,94.65369349,1,1,1,0,1,1
result.416,6.085068329,0.904760645,2.821410457,-2.592971987,-28.33562502,103.4432609,1,1,1,0,0,1
result.417,3.888100361,0.881741627,1.232094982,-2.241846172,-24.47972008,98.68026358,1,1,1,0,0,1
result.418,4.570340601,0.893956983,3.865882248,-2.618380834,-28.49774931,104.3242801,1,1,1,0,0,1
result.419,4.27778231,0.815571917,2.495285028,-2.114571584,-24.79837644,105.6491801,1,1,1,0,0,1
result.420,5.517623191,0.95246317,2.346233651,-2.99634115,-31.60667868,92.26170718,1,0,1,1,1,1
result.421,3.493058179,0.941739704,4.053898724,-2.586131109,-23.9736977,94.69965448,1,1,1,1,1,1
result.422,4.298068843,0.946453886,2.202895865,-2.260521528,-22.86889906,91.94310647,1,0,1,0,1,1
result.423,6.041092184,0.856043902,2.479799558,-2.49782025,-27.70199155,107.9781688,1,1,1,0,0,1
result.424,4.326407669,0.988776916,2.880266557,-1.645960349,-15.08362271,87.92018652,1,0,1,1,1,0
result.425,5.053125332,0.747495767,3.076555043,-2.498100923,-24.85251568,101.885459,1,0,1,0,0,1
result.426,4.578042399,0.802795788,2.839653597,-2.261822964,-23.06440061,106.6487346,1,1,1,0,0,1
result.427,4.366112063,0.916853164,2.654193132,-2.297912,-25.30857182,107.735279,1,1,1,0,0,1
result.428,5.434996532,0.827811751,2.4097101,-2.218836275,-25.61361323,102.1087293,1,1,1,0,0,1
result.429,4.156101321,0.965904665,1.636072743,-1.48611344,-11.60123071,105.1762543,1,0,1,1,1,1
result.430,4.579745486,0.922244605,3.346955036,-2.805412071,-30.2516393,99.66744248,1,1,1,0,0,1
result.431,6.308951664,0.865077194,3.483651747,-0.191099967,-7.42429587,93.53133242,1,1,1,1,1,1
result.432,4.58203716,0.849556041,3.616256808,-2.477119773,-25.08920924,110.3877384,1,1,1,0,0,1
result.433,5.551407556,0.89536073,3.786695916,-0.312304514,-6.611981647,92.64596604,1,1,1,1,1,1
result.434,5.051494456,0.856672357,2.857875128,-2.563200575,-25.9912049,102.2908978,1,1,1,0,0,1
result.435,5.442506163,0.934392114,3.289515171,-0.657235983,-3.585011698,101.4693244,1,1,1,1,1,1
result.436,6.066361453,0.902061536,2.925515238,-2.749371807,-29.46349444,102.5485891,1,1,1,0,1,1
result.437,4.928572241,0.869341134,4.381681569,-2.918757005,-26.02865289,94.61711269,1,1,1,0,0,1
result.438,4.98643244,0.96563249,0.854143189,-1.721276942,-14.34950778,100.9472438,1,0,1,1,1,1
result.439,6.532738397,0.952382127,2.736810458,-1.14200406,-10.13015448,92.20057864,1,0,1,1,1,1
result.440,4.248652484,0.844093252,4.179874223,-2.522393344,-23.44187584,113.2853807,1,1,1,0,0,0
result.441,3.495162333,0.97632093,4.787892342,-2.274873888,-14.40871575,93.47143383,1,0,1,1,1,1
result.442,5.323963185,0.939115119,2.890153045,-0.642204526,-2.467042024,97.57748766,1,1,1,1,1,1
result.443,4.142517284,0.836342785,1.097129208,-2.09297108,-24.01884755,94.86808409,1,1,1,0,0,1
result.444,5.66214886,0.867543958,2.894040133,-2.560817549,-26.2732603,98.19925944,1,1,1,0,0,1
result.445,5.100308148,0.948420108,3.730491872,-0.891475267,-7.715097862,97.1879221,1,1,1,1,1,1
result.446,4.819162083,0.946619391,2.641275537,-0.566434855,-1.691301198,96.00926098,1,1,1,1,1,1
result.447,5.416788164,0.878737325,3.574411159,-2.689680748,-26.21982623,108.5585913,1,1,1,0,0,1
result.448,6.353310441,0.903689024,4.152235096,-0.69091336,-11.55803855,101.5458407,1,1,1,1,1,1
result.449,5.068694363,0.869524082,3.489886201,1.212177202,0.918955499,95.88345467,1,1,1,1,1,1
result.450,4.971814357,0.917295624,2.532568406,-2.570852177,-27.79225375,101.2584924,1,1,1,0,0,1
result.451,4.373824707,0.890080392,3.800126129,-2.604396558,-25.78904509,100.5308938,1,1,1,0,0,1
result.452,5.718306233,0.923820098,3.11002435,-0.53608669,-3.913458852,106.8573629,1,1,1,1,1,1
result.453,3.369383226,0.883141557,2.78473991,-2.184056007,-22.54789221,102.8314529,1,1,1,0,0,1
result.454,6.111034325,0.918208795,2.223592258,-0.489019426,-6.581037156,97.44096667,1,1,1,1,1,1
result.455,4.823865042,0.934079487,3.243102465,-0.523721988,-4.420399349,98.38885105,1,1,1,1,1,1
result.456,4.575488645,0.892028141,3.451408149,1.437491188,4.59504575,102.3263592,1,1,1,1,1,1
result.457,4.334751332,0.90334586,3.727131951,-2.59320249,-25.7786706,103.7250955,1,1,1,0,0,1
result.458,6.383950331,0.856685253,2.618089687,0.839138631,0.968079846,99.48571409,1,1,1,1,1,1
result.459,3.772279926,0.883356851,3.746416175,-2.607316034,-26.70367537,100.6922136,1,1,1,0,0,1
result.460,5.006361701,0.916065224,3.801647364,-2.97275102,-30.14561668,93.56081716,1,1,1,1,1,1
result.461,5.233723714,0.940607821,2.77061203,-0.645107464,-2.792102345,101.6487553,1,1,1,1,1,1
result.462,4.92527488,0.87074845,4.084725864,0.102905746,-9.315568001,101.4306702,1,1,1,1,0,1
result.463,3.873497871,0.945203972,3.888986495,-2.734734838,-27.63942475,92.13810829,1,1,1,1,1,1
result.464,4.86382888,0.907450717,2.818776235,0.819537865,5.40441912,101.9421532,1,1,1,1,1,1
result.465,4.566704352,0.885548606,3.162747519,-2.440199847,-25.57704241,105.1009979,1,1,1,0,0,1
result.466,3.686591381,0.841711014,3.018144971,-2.287527402,-24.15570188,109.4969072,1,1,1,0,0,1
result.467,4.689680682,0.894705709,3.558196575,-2.497804264,-24.6611185,92.63564426,1,1,1,0,0,1
result.468,3.461855876,0.959130654,3.311963019,-1.580660246,-13.27928359,101.6732727,1,0,1,1,1,1
result.469,6.480139951,0.869526035,2.161114915,-2.699613146,-26.70332417,104.4342663,1,1,1,0,0,1
result.470,4.988161909,0.941784617,3.450215466,-2.703211095,-26.6183253,107.6738944,1,1,1,1,1,1
result.471,4.716282727,0.893355062,3.337498495,-2.422597035,-25.29592755,98.32238324,1,1,1,0,0,1
result.472,4.474106697,0.945985896,3.034330299,-0.345619556,-0.969832503,103.0309228,1,1,1,1,1,1
result.473,5.479509568,0.887843121,3.522999616,-0.126977871,-6.530487835,97.79238069,1,1,1,1,1,1
result.474,3.692943129,0.897959201,3.824727264,-2.572484646,-25.67933313,104.3632972,1,1,1,0,0,1
result.475,5.676042699,0.908644995,3.654794316,-2.790852881,-29.17557177,105.4351158,1,1,1,1,1,1
result.476,5.24145694,0.879550768,3.033393886,-2.125663652,-24.12944277,103.4959887,1,1,1,0,0,1
result.477,3.809543265,0.918685407,4.235983782,-2.312643038,-22.32014406,92.04807801,1,1,1,0,1,1
result.478,5.311284068,0.894922766,2.764542583,-2.397317175,-24.81574384,109.983825,1,1,1,0,0,1
result.479,6.262371829,0.844593465,3.002320961,1.51418061,2.968071096,106.2222628,1,1,1,1,1,1
result.480,3.252747404,0.945312614,4.241177302,-2.907201505,-30.6390388,91.35285351,1,1,1,0,0,1
result.481,5.208609582,0.86028721,3.819722612,-2.55430749,-24.1872783,96.24939364,1,1,1,0,0,1
result.482,6.195531417,0.842573733,4.773849532,-3.151463445,-27.24189105,97.74841002,1,1,1,0,0,1
result.483,5.567288011,0.878925379,3.015676146,0.27710593,-2.440601775,94.59016761,1,1,1,1,1,1
result.484,5.158120818,0.938294641,3.435625317,-0.667695756,-7.216753249,92.55619545,1,1,1,1,1,1
result.485,5.430844816,0.945789172,2.524385898,-1.109196041,-7.947727505,90.85571284,1,1,1,1,1,1
result.486,5.413217143,0.867704021,3.729488445,-2.537529722,-25.62731879,108.9048146,1,1,1,0,0,1
result.487,5.090998971,0.928061106,2.737453172,-0.36469752,-2.801706277,96.26148817,1,1,1,1,1,1
result.488,4.802146275,0.950117701,3.013165416,-2.309687981,-25.1176103,91.63984171,1,0,1,1,1,1
result.489,4.291275212,0.868642409,2.354069468,-2.237030462,-23.40445142,109.9032664,1,1,1,0,0,1
result.490,5.311783573,0.890299077,2.773081346,0.10549087,-3.743455716,97.77036446,1,1,1,1,1,1
result.491,4.987083964,0.852528666,1.74967317,-2.36157593,-23.64292632,96.08750105,1,1,1,0,0,1
result.492,3.48496962,0.85350749,2.776755989,-1.98555495,-23.14463888,105.6941384,0,1,1,0,0,1
result.493,3.413891892,0.949569849,4.069227536,-0.152534275,-4.124677688,101.2543142,1,0,1,1,1,1
result.494,4.185385082,0.911081336,3.702919755,-2.808856065,-26.59639198,97.69854481,1,1,1,0,0,1
result.495,6.638222816,0.897493937,2.23746496,-0.264744362,-4.658964075,96.64000439,1,1,1,1,1,1
result.496,4.830892993,0.902889244,3.344465556,-1.726462868,-18.25012893,100.5526896,1,1,1,1,1,1
result.497,3.28804506,0.921144544,3.232934788,-2.061414991,-22.92064553,100.7423443,0,1,1,0,0,1
result.498,4.374841167,0.901996085,2.591206658,-1.900001664,-20.67673291,99.15260202,1,1,1,0,0,1
result.499,4.163452636,0.987609007,3.884561729,-1.493098726,-11.56571051,96.81782431,1,0,1,1,1,1
result.500,5.287499215,0.869649575,3.49686656,-2.670751377,-23.32460866,105.4218006,1,1,1,0,0,1
result.1,4.054300751,0.898569627,3.634622284,-2.430258359,-25.4168117,96.57378306,1,1,1,0,0,1
result.2,5.499215336,0.874994463,2.443401974,-2.502140248,-26.67210634,100.4319818,1,1,1,0,0,1
result.3,3.643475245,0.882075217,5.118867813,-3.12933019,-26.44285083,104.8818385,1,1,0,0,0,1
result.4,4.06089953,0.914044418,3.504102564,-2.404306239,-25.20855486,88.8382419,1,1,1,0,0,0
result.5,6.281996738,0.895063354,2.823972818,-2.77195819,-25.07782024,91.01729715,1,1,1,1,1,1
result.6,5.141493802,0.844806726,2.472016823,-2.454682206,-24.6846536,100.1553225,1,1,1,0,0,1
result.7,4.316841322,0.838877856,3.321760476,-2.263618769,-25.73397345,107.6092037,1,1,1,0,0,1
result.8,6.752615083,0.877883383,3.417987953,-0.396159291,-5.671029956,99.36756445,1,1,1,1,1,1
result.9,4.209562377,0.919193438,2.905191834,0.242363555,-2.510201985,94.45715042,1,1,1,1,1,1
result.10,5.710096192,0.872102268,2.744912344,1.651664689,7.594868448,88.87083001,1,1,1,1,1,0
result.11,4.479316525,0.947322661,3.143503787,-0.861194704,-8.085320807,95.61388748,1,1,1,1,1,1
result.12,4.339217309,0.879827769,4.824824281,-2.795129057,-25.20500707,109.33547,1,1,0,0,0,1
result.13,5.336659266,0.911934578,1.953365786,-2.193830386,-25.03376583,97.38093041,1,1,1,0,0,1
result.14,6.439792505,0.892355346,3.483195563,-0.214682997,-4.042273282,105.201497,1,1,1,1,1,1
result.15,4.618016721,0.949583697,3.536379253,-0.738909846,-8.642946932,95.45078558,1,1,1,1,1,1
result.16,5.849573499,0.900644693,3.990947117,-0.69581005,-10.52680946,89.11155365,1,1,1,1,1,0
result.17,5.355312204,0.90374064,1.784456054,-2.438815204,-26.40600811,101.4984321,1,1,1,0,0,1
result.18,4.243589644,0.905315999,2.323413323,-2.014764137,-21.62548689,103.9345609,1,1,1,0,0,1
result.19,4.002338921,0.884652657,2.861410368,-1.947454748,-20.16241088,100.2768127,1,1,1,0,0,1
result.20,4.156457171,0.934907652,3.930680213,-0.373863467,-8.952051925,100.691168,1,1,1,1,1,1
result.21,3.662113465,0.901493732,4.557694262,0.181967478,-7.605352204,102.7470843,1,1,0,1,0,1
result.22,6.151355325,0.827626647,2.535352327,-2.440334064,-24.03141087,101.5094869,1,1,1,0,0,1
result.23,5.531076686,0.90640567,3.214902448,-2.679991287,-27.25719797,101.2445946,1,1,1,1,1,1
result.24,4.53327125,0.861261334,2.97189794,-2.377114627,-25.21791832,111.7301541,1,1,1,0,0,0
result.25,4.919199452,0.931582687,1.740131697,0.562336021,13.2094478,93.59492143,1,1,1,1,1,1
result.26,5.793330971,0.833406514,2.789276839,-2.295435177,-23.85837773,104.4631974,1,1,1,0,0,1
result.27,2.864005621,0.940128917,3.139029736,-2.499443594,-26.99814611,100.0804147,1,1,1,0,0,1
result.28,6.023784864,0.844887708,3.853419673,-2.883888543,-26.44227577,102.5176955,1,1,1,0,0,1
result.29,4.314675328,0.954150619,2.771686078,-1.594298446,-11.98293143,96.27953886,1,0,1,1,1,1
result.30,5.1129073,0.891332944,2.481332481,-2.295896091,-26.47002994,98.87744722,1,1,1,0,0,1
result.31,4.29268854,0.94808555,3.605665145,-0.518623451,-4.93426099,98.20380628,1,1,1,1,1,1
result.32,5.642117489,0.845491531,3.971202452,0.031763706,-11.19417686,89.32083632,1,1,1,1,0,0
result.33,5.779856958,0.908669207,2.655638274,-2.542530016,-26.63048128,107.5267966,1,1,1,0,0,1
result.34,5.244106183,0.979585946,2.854526976,-1.310309132,-11.10398561,101.185404,1,0,1,1,1,1
result.35,4.989294887,0.874062798,3.482577792,-2.692201005,-25.51100206,97.79696887,1,1,1,0,0,1
result.36,5.213359734,0.905217205,3.904497255,-0.396558262,-6.820177361,93.10611692,1,1,1,1,1,1
result.37,4.678456819,0.919949324,2.560271912,-2.217651754,-26.00605044,99.36955346,1,1,1,0,0,1
result.38,5.466046818,0.818196171,2.898895035,-2.298636979,-23.01422241,98.03952098,1,1,1,0,0,1
result.39,6.430398935,0.888685894,2.389818392,-2.56476806,-29.50233815,98.02513298,1,1,1,0,0,1
result.40,5.760671885,0.876245282,3.019815891,-2.691607419,-27.63796692,103.545961,1,1,1,0,0,1
result.41,4.605567993,0.890936035,2.231735987,-2.223904384,-25.29600672,103.3990453,1,1,1,0,0,1
result.42,3.827228501,0.926876551,2.455354471,-2.228981822,-27.75497232,105.6620001,1,1,1,0,0,1
result.43,4.065080777,0.902770243,3.64211871,-2.163381846,-24.06686186,101.0387514,1,1,1,0,0,1
result.44,5.298639878,0.899425439,3.019184876,-0.0153584,-3.452451806,100.0342029,1,1,1,1,1,1
result.45,4.731862399,0.888158666,3.761254259,0.399106413,-2.667992018,101.1938162,1,1,1,1,1,1
result.46,4.119527144,0.890579697,3.41968812,-2.499874205,-26.90561832,108.6512914,1,1,1,0,0,1
result.47,5.672909257,0.893066282,2.890636396,-0.066756609,-6.163587341,95.47680194,1,1,1,1,1,1
result.48,5.550087279,0.892586452,2.535388506,0.538835158,3.496606641,101.000401,1,1,1,1,1,1
result.49,3.049447158,0.969936578,2.586713444,-2.202534188,-23.27627846,99.17748594,0,0,1,0,0,1
result.50,4.703738057,0.944229619,3.567200492,-0.812485337,-6.560817776,101.9561666,1,1,1,1,1,1
result.51,4.371218998,0.975706226,2.460591072,-2.235409317,-23.4657007,92.58086057,1,0,1,1,1,1
result.52,5.103090405,0.905763457,3.60144624,0.028000059,-2.91273101,112.7663132,1,1,1,1,1,0
result.53,4.772179235,0.926567189,3.500808477,-0.11502367,0.214349885,104.6816576,1,1,1,1,1,1
result.54,4.616466714,0.917089732,2.630689661,-2.424532143,-26.24027649,104.8621196,1,1,1,0,0,1
result.55,4.793746201,0.800482061,2.137839842,-2.192880895,-24.53395148,99.07331208,1,1,1,0,0,1
result.56,4.308032231,0.885025543,2.74730939,-2.171800104,-22.85316823,96.88089935,1,1,1,0,0,1
result.57,4.345441345,0.955922441,2.812109045,-2.369317026,-24.50333637,102.6406018,1,0,1,1,1,1
result.58,6.395653493,0.878891231,1.979418669,-2.563467555,-25.69599365,94.56986251,1,1,1,0,0,1
result.59,5.205131388,0.893974956,3.108063844,-2.583137784,-27.5882745,102.8707013,1,1,1,0,0,1
result.60,5.154744849,0.860452894,3.677555488,0.577348525,-5.622798387,107.3681601,1,1,1,1,1,1
result.61,6.03582542,0.888953601,3.818140565,-0.31049854,-8.441713742,109.5361747,1,1,1,1,1,1
result.62,5.111126155,0.950542388,2.607771301,-2.717379258,-30.95657114,99.21693978,1,0,1,1,1,1
result.63,5.777671683,0.896845571,4.397973951,-0.547792855,-9.313273283,98.58948056,1,1,1,1,1,1
result.64,4.007914014,0.907895984,2.010340905,-2.288456425,-27.02846689,95.80575681,1,1,1,0,0,1
result.65,5.605486813,0.833876111,3.176504629,-2.499838085,-26.95269064,100.9993708,1,1,1,0,0,1
result.66,5.035703941,0.873936587,3.672940123,-2.566044889,-23.45437614,109.6526747,1,1,1,0,0,1
result.67,5.177586138,0.891031531,2.606650804,-2.615574704,-27.83192238,95.69095049,1,1,1,0,0,1
result.68,5.017753151,0.917386863,3.621604937,-0.18898533,-4.604925871,105.7690425,1,1,1,1,1,1
result.69,5.403143538,0.902745386,2.988734686,0.058877482,-2.385956057,95.52621255,1,1,1,1,1,1
result.70,4.981366301,0.896654746,3.307621308,-2.485919972,-24.95727619,97.302258,1,1,1,0,0,1
result.71,4.381564883,0.90369785,3.880360784,0.082421479,-4.534507974,94.82191371,1,1,1,1,1,1
result.72,6.213726601,0.891220957,3.194374673,-2.910707335,-29.06515259,103.7865639,1,1,1,0,0,1
result.73,6.293872126,0.945046415,2.396086809,-1.039866518,-7.167018567,97.7724002,1,1,1,1,1,1
result.74,5.50873129,0.884127816,3.485216635,-2.730929222,-27.35848786,100.8874699,1,1,1,0,0,1
result.75,4.451319678,0.93335302,3.271620435,-0.496753145,-2.55456919,103.4976883,1,1,1,1,1,1
result.76,5.85798811,0.861945273,3.491043346,0.103686563,-5.87548613,99.14356898,1,1,1,1,0,1
result.77,5.444742121,0.864692791,1.56500898,-2.620440151,-26.75451759,106.9008734,1,1,1,0,0,1
result.78,5.376301629,0.952767164,2.074951315,-2.971527259,-35.02226299,104.8702662,1,0,1,1,1,1
result.79,4.773805951,0.934744401,3.843620635,-0.520181874,-7.768221285,96.79730472,1,1,1,1,1,1
result.80,4.639028333,0.968469061,3.533292902,-2.089593686,-14.65819851,87.63145609,1,0,1,1,1,0
result.81,6.683331019,0.816635391,2.465320584,-2.298722167,-24.2560268,98.20231712,1,1,1,0,0,1
result.82,3.514672793,0.88423266,2.307168354,-2.363347239,-24.79102519,101.9680251,1,1,1,0,0,1
result.83,4.8639793,0.952951918,2.542070953,-1.688923564,-14.86743454,97.6438112,1,0,1,1,1,1
result.84,6.361467162,0.798825652,2.469530779,-2.516785035,-25.40444255,98.2469186,1,1,1,0,0,1
result.85,4.348124406,0.936852887,3.928169735,-2.657386883,-28.05995706,98.6661344,1,1,1,1,1,1
result.86,3.668573553,0.937764059,2.925183767,-2.521452087,-27.77378353,90.01404576,1,1,1,0,0,0
result.87,5.087332919,0.908144297,2.792507765,-2.643103414,-26.60216479,103.9675889,1,1,1,0,0,1
result.88,5.969787633,0.881492502,2.628102258,0.099906859,-1.746006592,97.3034671,1,1,1,1,1,1
result.89,6.108267396,0.80499817,2.758304008,-2.368906854,-24.33465034,108.1554044,1,1,1,0,0,1
result.90,4.647455758,0.900073385,2.868880718,-2.399476369,-25.70201836,94.50499605,1,1,1,0,0,1
result.91,2.703942688,0.871564957,4.528708003,-2.423989147,-22.7389401,99.89813425,0,1,0,0,0,1
result.92,4.236206804,0.903475361,1.356574514,-2.319458993,-24.52621973,101.8423144,1,1,1,0,0,1
result.93,5.988364944,0.842007068,2.486745362,-2.377889143,-25.19965069,107.765097,1,1,1,0,0,1
result.94,5.516777761,0.93049698,2.35128372,-2.671678294,-28.49735604,96.98754358,1,1,1,1,1,1
result.95,4.376795224,0.966727789,2.995192059,-1.217051011,-11.25989289,88.75986776,1,0,1,1,1,0
result.96,5.028066348,0.975520073,3.836598197,-1.893054026,-16.2790805,94.32616435,1,0,1,1,1,1
result.97,6.101468335,0.904714532,2.222768032,-2.525441901,-29.36709796,111.9866911,1,1,1,0,0,0
result.98,5.614145145,0.937646832,2.102181155,-0.823536044,-6.692251345,88.47688916,1,1,1,1,1,1
